DR_NO,Date_Rptd,DATE_OCC,AREA_NAME,Crm_Cd,Crm_Cd_Desc,Vict_Age,Vict_Sex,Premis_Desc,Status,Location,LAT,LON
200104076,2020-01-01,2020-01-01,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",57,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,600 W 7TH ST,34.05,-118.25
200104077,2020-02-01,2020-01-01,Central,330,BURGLARY FROM VEHICLE,37,F,STREET,IC,600 S SAN PEDRO ST,34.03,-118.26
200104078,2020-02-01,2020-02-01,Central,210,ROBBERY,0,X,DRUG STORE,IC,100 W 2ND ST,34.05,-118.26
200104082,2020-02-01,2020-02-01,Central,624,BATTERY - SIMPLE ASSAULT,60,M,STREET,IC,100 E 5TH ST,34.04,-118.25
200104090,2020-02-01,2020-02-01,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,M,DEPARTMENT STORE,IC,700 W 7TH ST,34.05,-118.26
200104092,2020-02-01,2020-01-01,Central,310,BURGLARY,51,M,GARAGE/CARPORT,IC,700 W 7TH ST,34.06,-118.24
200918185,2020-07-12,2020-07-12,Van Nuys,900,VIOLATION OF COURT ORDER,52,F,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",AA,4TH,34.18,-118.45
200104098,2020-02-01,2020-02-01,Central,210,ROBBERY,61,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,700 S GRAND AV,34.05,-118.25
200104118,2020-02-01,2020-02-01,Central,624,BATTERY - SIMPLE ASSAULT,36,F,OTHER BUSINESS,IC,5TH,34.04,-118.24
200104120,2020-02-01,2020-02-01,Central,310,BURGLARY,59,M,SINGLE RESIDENCE OCCUPANCY (SRO'S) LOCATIONS,IC,100 E 5TH ST,34.04,-118.24
200104126,2020-02-01,2020-02-01,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),32,M,OTHER STORE,IC,100 W 2ND ST,34.05,-118.26
200104127,2020-02-01,2020-02-01,Central,888,TRESPASSING,44,F,PARKING UNDERGROUND/BUILDING,IC,PALMETTO,34.05,-118.24
200104129,2020-02-01,2020-02-01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",60,F,STREET,IC,800 JAMES M WOOD BL,34.05,-118.24
200104132,2020-02-01,2020-02-01,Central,330,BURGLARY FROM VEHICLE,31,M,PARKING LOT,IC,GRAND,34.04,-118.26
200104135,2020-02-01,2020-02-01,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),30,M,STREET,IC,GRAND,34.05,-118.25
200104136,2020-02-01,2020-02-01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",50,M,STREET,AA,200 N AVENUE 25,34.04,-118.24
200104138,2020-02-01,2020-02-01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",40,M,OTHER BUSINESS,IC,500 SAN JULIAN ST,34.06,-118.24
200104139,2020-02-01,2020-02-01,Central,888,TRESPASSING,34,M,RESTAURANT/FAST FOOD,IC,43RD ST,34.05,-118.26
200104141,2020-02-01,2020-02-01,Central,624,BATTERY - SIMPLE ASSAULT,45,M,OTHER BUSINESS,IC,100 PASEO DE LA PLAZA,34.05,-118.26
