DR_NO,Date_Rptd,DATE_OCC,AREA_NAME,Crm_Cd,Crm_Cd_Desc,Vict_Age,Vict_Sex,Premis_Desc,Status,Location,LAT,LON
200106598,2020-06-02,2020-06-02,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,X,DEPARTMENT STORE,IC,1200 W 39TH ST,34.05,-118.26
200106599,2020-06-02,2020-06-02,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,X,DEPARTMENT STORE,IC,VERNON AV,34.05,-118.26
200106600,2020-06-02,2020-06-02,Central,624,BATTERY - SIMPLE ASSAULT,56,F,SIDEWALK,IC,4200 S WESTERN AV,34.04,-118.24
200106604,2020-07-02,2020-06-02,Central,888,TRESPASSING,0,M,LA UNION STATION (NOT LINE SPECIFIC),IC,4000 SANTO TOMAS DR,34.06,-118.24
200106606,2020-07-02,2020-07-02,Central,624,BATTERY - SIMPLE ASSAULT,75,F,SIDEWALK,IC,600 EXPOSITION BL,34.04,-118.24
200106608,2020-07-02,2020-07-02,Central,510,VEHICLE - STOLEN,0,M,STREET,IC,1400 W 37TH DR,34.05,-118.25
200106614,2020-07-02,2020-07-02,Central,624,BATTERY - SIMPLE ASSAULT,33,M,SIDEWALK,IC,2400 ELLENDALE PL,34.05,-118.26
200106615,2020-07-02,2020-07-02,Central,624,BATTERY - SIMPLE ASSAULT,25,M,SIDEWALK,IC,39TH PL,34.05,-118.26
200106616,2020-07-02,2020-07-02,Central,624,BATTERY - SIMPLE ASSAULT,35,M,OTHER STORE,IC,2500 W VERNON AV,34.05,-118.25
200106617,2020-07-02,2020-10-01,Central,510,VEHICLE - STOLEN,0,F,PARKING LOT,IC,700 EXPOSITION BL,34.05,-118.25
200106618,2020-07-02,2020-03-02,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),72,M,"VEHICLE, PASSENGER/TRUCK",IC,2600 S FIGUEROA ST,34.05,-118.24
